session_id,user_id,temp1,temp2,bpm1,bpm2,spo2_1,spo2_2,mpu1_acc_x,mpu1_acc_y,mpu1_acc_z,mpu2_acc_x,mpu2_acc_y,mpu2_acc_z,mpu1_gyr_x,mpu1_gyr_y,mpu1_gyr_z,mpu2_gyr_x,mpu2_gyr_y,mpu2_gyr_z,fsr_1,fsr_2,fsr_3,fsr_4,fsr_5,fsr_6,fsr_7,fsr_8,fsr_9,fsr_10,fsr_11,fsr_12,stress_level,posture_level,timestamp
2708,181,36.7,37.46,80,73,97,97,-1.118,0.568,-1.289,-0.55,1.82,-0.745,-225.648,107.756,-242.608,-248.285,-215.237,107.234,60.51,23.5,30.42,51.53,48.65,78.71,81.95,25.46,13.06,50.45,33.81,59.14,2,2,25/2/2026 8:31
2709,181,36.02,36.89,67,80,99,95,-0.184,-0.948,-1.357,1.524,0.922,-1.55,-174.524,171.036,131.638,105.116,187.804,-75.171,82.77,18.28,21.94,24.79,20.12,49.28,68.14,10.12,10.77,39.29,55.11,74.93,2,2,25/2/2026 8:32
2710,181,36.86,37.46,103,69,100,94,-0.438,1.752,-1.883,-0.668,1.457,-1.23,-205.33,-28.669,0.394,-155.837,-63.861,204.226,41.21,78.44,42,16.89,82.97,46.54,77.82,34.46,50.14,77.78,45.55,77.49,2,2,25/2/2026 8:33
2711,181,36.86,36.28,105,109,94,97,1.292,-1.588,1.958,-0.465,-1.638,-1.594,73.075,55.665,-196.976,-7.954,70.907,196.766,87.53,60.55,31.95,25.43,47.8,46.87,69.05,24.7,55.51,64.17,56.89,38.62,2,2,25/2/2026 8:34
2712,181,37.13,36.96,108,77,94,96,0.806,-1.507,0.302,-1.319,0.612,0.13,199.099,100.04,172.388,-18.364,83.506,7.373,37.68,55.37,21.45,66.61,56.52,56.22,52.89,31.45,17.51,82.93,89.89,19.32,2,2,25/2/2026 8:35
2713,181,36.42,36.64,63,65,94,94,0.746,0.348,-0.301,-1.635,0.141,-1.91,-137.097,151.657,202.881,183.086,237.571,-113.094,55.31,88.19,87.52,43.47,62.51,15.39,86.06,84.77,14.83,53.06,62.42,34.83,2,2,25/2/2026 8:36
2714,181,37.27,36.37,99,75,96,94,-1.748,-1.107,-1.492,-0.232,-0.7,-0.42,215.826,-141.494,-217.514,-134.516,170.463,-6.359,77.66,27.24,69.04,15.68,66.87,75.47,64.33,36.03,11.06,32.41,72.55,65.39,2,2,25/2/2026 8:37
2715,181,35.8,36.01,103,79,95,100,0.147,-0.642,0.227,-1.559,-0.979,1.953,129.671,-147.165,24.301,17.975,44.2,143.273,16.28,36.88,72.38,14.99,79.01,23.72,81.97,60.75,48.5,26.5,80.6,72.22,2,2,25/2/2026 8:38
2716,182,36.27,35.87,91,96,99,94,-0.613,-1.617,-0.73,0.524,1.892,-0.11,-179.107,97.604,-198.438,240.479,-125.587,106.933,30.5,26.03,89.97,11.23,43.64,70.18,44.21,82.29,10.19,77.79,59.97,64.76,3,2,25/2/2026 8:39
2717,182,36.88,36.78,96,85,100,94,1.797,0.251,0.45,1.051,-1.332,-1.729,229.649,-43.074,221.761,30.998,-202.099,-57.149,22.92,49.15,65.49,38.58,75.1,82.08,73.39,45.98,40.28,85.98,73.68,86.61,3,3,25/2/2026 8:40
2718,182,36.72,36.74,95,99,98,94,1.168,0.696,-0.299,0.979,1.92,-0.72,-210.695,146.807,69.262,-133.127,-197.248,-94.604,77.19,79.26,49.7,50.21,64.33,53.91,87.36,51.8,72.56,60.42,52.94,79.62,3,3,25/2/2026 8:41
2719,182,36.31,36.49,107,87,99,99,0.186,-0.21,-0.992,-0.197,-0.63,0.397,154.92,188.118,212.466,-224.781,33.639,-190.491,40.15,33.07,58.9,66.5,70.58,10.79,38.13,66.47,48.21,54.62,39.02,68.38,3,2,25/2/2026 8:42
2720,182,36.1,37.21,68,91,97,96,-0.338,-1.822,-0.992,0.292,-1.385,0.69,211.753,-104.751,91.302,127.82,249.652,-167.541,83.13,77.36,65.05,42.78,19.61,26.28,67.81,64.25,79.91,60.13,87.19,17.7,3,2,25/2/2026 8:43
2721,182,36.61,36.32,75,65,98,99,-0.032,-0.163,-1.221,0.376,1.665,-0.654,114.996,160.303,-248.01,184.497,241.887,248.325,61.98,74.23,62.06,68.54,28.95,71.87,61.92,18.01,40.22,49.49,16.47,41.01,3,2,25/2/2026 8:44
2722,182,36.44,36.48,70,84,100,96,1.338,0.565,-0.591,0.157,1.364,0.31,99.411,103.795,-209.636,-40.791,166.693,65.517,30.17,22.37,52.55,32.8,75.73,73.55,35.54,54.36,21.65,31.74,21.27,71.6,3,2,25/2/2026 8:45
2723,182,36.85,35.57,89,85,96,99,-1.368,-1.668,-0.355,1.234,1.17,0.189,139.416,8.123,170.801,-55.8,-232.665,-140.765,25.61,43.55,79.03,71.71,48.93,70.32,87.09,28.1,12.48,45.04,86.58,75.55,3,2,25/2/2026 8:46
2724,182,36.44,36.94,93,64,94,95,0.385,-0.782,-0.175,-1.435,-1.26,1.813,-161.812,-194.508,17.351,63.94,-207.187,-85.966,66.96,67.57,57.14,85.99,77.45,37.33,18.91,34.19,67.82,63.17,77.1,71.36,3,3,25/2/2026 8:47
2725,182,36.92,36.59,86,81,96,99,1.976,-0.028,-0.592,-1.985,-0.52,-1.063,115.466,-231.262,-15.302,148.282,-222.951,-69.515,10.54,80.34,52.98,50.95,64.71,57.03,18.6,38.18,51.35,80.43,38.89,60.73,3,2,25/2/2026 8:48
2726,182,36.59,36.14,63,103,98,96,-0.285,1.071,0.335,1.654,0.062,0.878,91.611,-36.787,-65.432,21.578,-88.726,-182.44,44.12,17.08,43.5,66.33,66.26,28.5,68.5,74.4,57.37,39.94,33.12,63.86,3,2,25/2/2026 8:49
2727,182,36.9,37.26,82,108,100,96,0.544,1.024,-1.939,-0.938,1.393,1.691,-77.019,218.253,-69.225,233.273,79.126,78.921,15.13,14.02,12.82,61.68,21.28,19.59,55.2,62.91,56.59,62.62,23.41,13.44,3,2,25/2/2026 8:50
2728,182,36.76,35.97,77,79,97,98,1.049,-1.853,-0.516,0.133,-0.128,-1.938,114.684,40.666,165.484,191.407,50.825,-91.288,51.94,52.14,30.41,44.97,83.58,64.78,18.5,57.17,49.96,24.56,76.51,61.37,3,2,25/2/2026 8:51
2729,182,37.22,36.22,99,71,96,97,1.825,-1.47,1.957,-1.113,-1.494,-0.425,-239.382,57.44,177.055,-173.117,-9.817,-142.911,51.25,62.69,86.29,88.29,56.36,64.65,11.06,58.19,76.47,50.65,46.91,59.24,3,2,25/2/2026 8:52
2730,182,35.73,36.14,93,60,96,97,1.453,-0.381,1.87,0.526,0.973,0.452,-80.018,58.229,26.376,-145.01,132.356,10.592,68.46,57.52,59.56,69.25,55.64,77.03,65.14,19.31,71.26,79.07,70.91,72.6,3,3,25/2/2026 8:53
2731,183,35.69,37.2,98,104,97,98,-0.207,1.765,-0.168,0.1,-1.104,1.548,189.962,-97.469,238.569,28.231,-181.764,142.685,85.79,12.14,77.77,37.78,87.69,79.89,58.9,65.82,51.23,22.84,58.41,53.79,2,2,25/2/2026 8:54
2732,183,36.09,35.63,100,85,99,95,0.188,0.4,-0.071,-0.3,-0.95,-0.664,178.802,-221.7,-48.305,-240.741,-116.017,-64.864,81.67,80.81,69.03,19.11,71.33,53.63,59.23,74.09,49.01,42.34,43,68.91,2,2,25/2/2026 8:55
2733,183,37.46,35.7,80,106,97,94,-0.557,-1.659,0.61,1.737,-0.344,1.982,-42.341,-245.457,-6.397,25.977,114.411,-165.327,61.01,55.76,77.66,71.05,20.43,26.42,46.2,60.84,41.6,46.75,43.44,66.63,2,2,25/2/2026 8:56
2734,183,35.75,37.18,105,102,98,97,0.683,1.626,1.89,0.575,-1.656,-1.198,205.073,53.037,-40.012,233.88,130.239,174.03,31.63,32.98,10.43,57.67,18.28,53.84,24.19,51.75,44.58,46.54,18.26,72.77,2,2,25/2/2026 8:57
2735,183,37.01,37.27,93,109,95,96,-1.217,-1.698,-1.417,-0.111,1.825,1.691,219.167,181.127,-181.007,-188.417,-3.888,85.434,47.31,46.02,57.58,81.54,35.73,77.83,25.1,84.56,19.92,17.18,38.71,25.77,2,2,25/2/2026 8:58
2736,183,36.63,36.1,98,98,94,94,-0.631,1.037,-0.916,0.898,-1.615,1.559,194.299,109.884,11.314,103.331,12.164,-134.177,60.04,88.63,21.82,61.8,26.2,64.16,81.34,52.03,58.66,62.54,23.26,55.25,2,2,25/2/2026 8:59
2737,183,37.21,35.77,101,104,98,95,0.929,1.018,-0.174,-1.371,-0.671,-1.511,-123.9,-127.426,-142.076,149.162,-20.467,-234.739,42.41,83.74,68.16,37.64,70.59,27.97,44.09,17.74,88.36,62.18,52.69,80.29,2,2,25/2/2026 9:00
2738,183,37.16,36.76,106,80,99,98,-1.344,1.615,-0.775,-0.761,0.033,0.248,94.854,126.244,-133.994,176.666,76.96,-234.19,36.72,74.99,80.6,72.81,19.53,13.74,43.79,41.78,18.36,55.15,27.86,84.98,2,2,25/2/2026 9:01
2739,183,36.12,36.27,85,106,96,95,-1.451,-0.013,1.491,-0.225,1.533,0.584,173.469,-88.09,11.375,128.458,-53.499,-1.999,46.17,28.42,61.17,70.74,70.76,23.4,41.56,42.18,65.98,36.25,33.78,43.34,2,2,25/2/2026 9:02
2740,183,36.51,37.23,67,75,94,97,1.334,0.318,-0.477,0.14,-0.232,1.371,-66.175,183.314,216.506,-42.083,-56.203,36.754,24.47,48.33,49.99,70.32,19.67,48.65,43.07,69.9,81.21,14.65,89.25,63.19,2,2,25/2/2026 9:03
2741,183,37.34,36.82,110,106,99,100,0.422,-1.014,0.762,0.927,1.218,-0.912,63.203,-16.989,-8.877,-117.22,123.499,-158.676,77.92,59.25,22.03,17.64,73.37,42.79,76.75,71.52,46.38,89.21,69.61,73.34,2,2,25/2/2026 9:04
2742,183,36.36,36.14,63,107,94,95,-1.017,-1.663,1.488,-0.012,-0.743,-0.167,-44.181,-169.447,81.798,-71.238,6.933,-72.241,63.26,31.09,76.93,37.11,53.66,28.09,39.8,56.49,53.37,17.11,69.82,81.07,2,2,25/2/2026 9:05
2743,183,35.9,36.98,106,93,94,96,-0.983,1.081,-0.706,1.921,1.794,1.048,-159.429,-244.092,-10.424,-106.424,-111.699,-237.29,48.75,49.53,35.84,72.63,13.51,86.5,25.4,28.65,16.58,14.52,70.38,83.1,2,2,25/2/2026 9:06
2744,183,35.87,36.89,110,79,99,95,-0.061,0.252,0.181,-1.719,-1.628,-1.149,-117.931,-56.527,101.954,154.831,182.307,-84.815,13.86,23.11,43.28,66.71,39.52,83.66,22.85,51.99,12.76,37.55,34.45,35.13,2,2,25/2/2026 9:07
2745,183,36.04,36.55,83,61,95,96,0.735,-1.432,0.913,-0.387,0.75,0.841,-44.08,160.225,55.206,-189.937,188.205,-189.312,56.89,80.75,20.66,65.81,57.68,51.6,17.69,61.76,19.68,84.23,60.16,32.25,2,2,25/2/2026 9:08
2746,184,37.44,36.96,86,96,99,96,-0.379,0.335,0.104,-1.972,1.418,1.295,148.246,-230.95,-215.269,-176.747,-126.153,-96.165,86.26,58.16,19.43,80.4,77.11,50.9,57.85,37.95,36.05,69.97,39.58,67.91,2,2,25/2/2026 9:09
2747,184,35.62,36.07,75,89,97,98,0.275,-0.229,-1.312,-0.124,1.533,0.452,204.371,161.301,29.055,200.353,-116.97,130.138,77.97,53.42,31.15,33.16,27.56,71.72,10.99,32.24,27.18,38.08,68.01,36.96,2,2,25/2/2026 9:10
2748,184,36.95,35.57,82,85,96,94,0.095,1.976,-1.588,0.821,-1.24,-0.992,-93.86,193.458,98.404,-35.781,33.289,203.827,19.98,75.5,33.55,54.84,36.2,77.76,43.66,18.47,83.59,37.57,14.63,56.5,2,2,25/2/2026 9:11
2749,184,36.18,35.7,68,75,96,99,-0.519,-0.048,-1.874,0.207,0.436,1.41,-154.372,-133.866,-229.045,-109.765,73.054,-163.672,69.4,22.89,50.05,44.62,83.6,61.39,33.33,41.14,15.46,37.15,29.69,68.05,2,2,25/2/2026 9:12
2750,184,36.81,35.81,100,87,97,96,-0.973,-0.663,1.127,-1.409,1.335,-1.882,133.72,-152.097,-238.401,204.096,19.278,-172.821,87.79,11.98,11.17,36.46,45.75,71.04,70.25,68.64,28.74,40.56,82.79,64.27,2,2,25/2/2026 9:13
2751,184,36.8,36.96,81,104,99,98,-0.719,1.82,0.722,0.954,1.141,1.268,7.706,159.909,199.319,43.676,204.954,9.483,21.93,49.3,14.33,88.12,17.23,72.3,10.67,86.55,69.4,15,87.09,60.02,2,2,25/2/2026 9:14
2752,184,36.71,35.6,97,107,98,95,-0.31,-1.572,1.377,-1.443,0.187,1.048,-4.795,-189.413,-32.274,165.916,57.717,-124.958,43.53,51.8,33.28,34.41,25.42,86.04,17.39,69.82,68.53,75.4,72.37,20.53,2,2,25/2/2026 9:15
2753,184,35.73,35.89,71,60,100,97,1.258,1.814,0.699,-1.467,-0.605,-0.366,-185.637,173.497,-126.934,224.672,167.584,-103.3,49.68,68.4,86.06,51.19,64.53,65.88,77.7,30.57,53.43,58.65,36.68,36.49,2,2,25/2/2026 9:16
2754,184,35.74,36.04,88,74,100,96,-0.801,-1.661,0.107,0.614,0.104,-0.686,105.653,-20.932,150.33,-209.71,83.692,100.078,86.7,67.74,87.72,47.46,52.65,84.93,24.48,87.89,31.14,77.03,46.24,37.71,2,3,25/2/2026 9:17
2755,184,35.91,36.51,87,100,98,98,-0.257,-1.092,1.863,-1.448,-1,0.732,-111.157,207.704,-166.768,244.422,-11.269,117.951,38.38,39.54,81.13,74.69,50.4,36.56,25.82,11.89,17.08,60.56,76.98,85.2,2,2,25/2/2026 9:18
2756,184,37.25,37.01,74,108,95,97,-0.452,-1.667,-0.841,-1.121,-1.472,-1.656,152.535,33.147,105.017,154.086,-157.083,-61.492,23.56,62.93,70.79,13.13,76.67,64.05,74.66,65.47,30.41,83.65,68,88.58,2,3,25/2/2026 9:19
2757,184,36.56,35.98,76,81,98,100,-1.164,-0.186,1.872,-0.661,0.351,-1.428,-221.988,108.407,-75.014,-35.44,189.49,20.421,74.87,34.94,45.87,25.59,23.11,83.79,14.1,56.41,59.84,11.68,62.48,71.92,2,2,25/2/2026 9:20
2758,184,36.34,36,61,79,95,95,-1.235,-0.543,-0.259,-0.782,-0.524,-1.512,126.537,-239.021,-6.931,185.185,-159.456,-165.791,89.74,78.88,72.09,49.62,12.59,50.84,28.5,17.13,80.53,86.21,81.67,24.17,2,2,25/2/2026 9:21
2759,184,36.71,36.82,99,98,94,98,0.757,0.62,-1.316,-0.962,1.78,-0.042,66.763,22.443,82.178,116.156,-168.543,-161.665,16.7,52.79,50.19,37.63,44.67,61.18,33.8,77.25,52.99,35.45,83.17,84.44,2,2,25/2/2026 9:22
2760,184,36.08,37.2,102,80,95,100,-0.427,-1.203,-0.472,0.943,1.469,0.243,-193.341,55.508,-126.671,-240.285,152.369,229.444,75.26,18.46,70.38,30.86,84.95,62.53,38.88,34.04,26.02,34.97,53.91,85.53,2,2,25/2/2026 9:23
2761,185,36.17,36.28,60,89,98,97,-0.498,1.781,1.019,0.875,-0.635,1.775,-50.625,-78.71,40.586,-128.388,-39.495,-155.021,47.88,40.83,37.29,42.46,66.12,19.16,46.34,40.08,82.98,62.91,29.51,73.16,2,2,25/2/2026 9:24
2762,185,36.92,37.38,87,69,100,96,1.522,-0.937,-1.811,-1.44,1.396,-1.08,-76.961,15.643,-170.567,203.399,174.411,129.753,72.71,29.84,74.78,55.4,78.63,79.95,63.54,81.62,62.62,14.34,52.28,36.28,2,2,25/2/2026 9:25
2763,185,37.41,37.36,103,101,99,95,-1.908,1.497,-1.649,-0.703,-1.533,0.777,23.154,-121.597,-55.685,-210.679,205.295,194.287,35.85,40.72,59.81,89.13,88.15,21.3,63.42,33.05,84.27,49.63,60.76,20.72,2,2,25/2/2026 9:26
2764,185,37.1,36.42,97,107,94,96,0.504,-0.124,1.277,-0.485,-1.312,0.881,54.093,-39.976,-30.285,-2.54,29.084,174.363,88.94,63.22,30.38,48.3,75.71,41.3,17.5,67.28,75.33,35.07,38.15,50.69,2,2,25/2/2026 9:27
2765,185,35.59,35.56,79,98,96,95,1.967,0.893,-1.415,1.46,-0.939,1.739,208.457,-229.126,206.205,175.003,-166.233,-31.229,51.07,15.24,88.1,79.44,24.61,64.7,17.05,17.55,27.59,31.73,25.93,60.06,2,2,25/2/2026 9:28
2766,185,35.57,37.01,71,63,95,100,0.248,-0.035,1.855,-0.837,1.532,-1.731,111.443,134.297,145.667,-237.905,-122.008,-104.98,41.33,53.49,23.72,57.3,23.27,53.22,85.8,44.22,56.49,89.3,25.19,17.64,2,2,25/2/2026 9:29
2767,185,35.52,36.18,73,62,98,100,0.949,-1.723,-1.696,-0.92,0.512,-0.425,238.124,-226.476,-172.359,27.941,185.852,-191.076,73.74,67.65,72.19,83.77,29.31,74.6,74.24,84.93,41.83,37.51,52.4,78.32,2,3,25/2/2026 9:30
2768,185,37.4,36.47,63,109,97,98,1.105,1.684,0.313,-1.68,-1.922,1.609,-175.233,202.006,-227.751,133.005,-70.396,195.803,10.02,70.82,22.72,50.48,35.82,23.07,31.22,65.25,28.31,56.63,57.4,56.99,2,2,25/2/2026 9:31
2769,185,37.45,35.91,63,102,97,100,-1.038,0.603,-1.685,0.117,-0.974,-1.292,65.999,117.819,-117.792,86.973,248.025,-77.873,43.68,29.53,46.41,78,33.78,70.45,63.03,61.59,18.48,10.89,66.45,61.65,2,2,25/2/2026 9:32
2770,185,36.83,36.06,90,110,94,95,-0.383,1.432,1.404,0.032,1.168,1.897,100.354,-231.576,-177.114,-142.606,229.168,-205.447,29.08,78.31,84.36,48.27,15.94,78.73,58.29,68.55,63.64,29.07,27.01,60.11,2,2,25/2/2026 9:33
2771,185,36.59,36.95,88,66,96,97,1.279,1.325,-1.769,0.837,-1.907,-1.645,-134.565,134.927,93.589,40.843,-76.161,-63.337,40.3,44.39,69.72,21.93,86.16,34.26,41.53,73.98,17.17,30.25,56.53,25.12,2,2,25/2/2026 9:34
2772,185,35.9,36.2,101,96,100,96,-0.456,0.019,-0.065,-0.919,-0.167,-0.425,134.181,-9.907,73.104,37.575,-185.303,195.236,28.01,60.8,17.61,56.87,69.42,37.13,63.45,28.56,29.15,50.6,74.76,39.35,2,2,25/2/2026 9:35
2773,185,36.43,37.4,79,72,94,94,-1.424,-1.365,0.521,-1.975,-0.063,-1.511,-196.257,-28.085,-152.103,57.584,-37.2,66.443,10.39,47.1,40.99,85.63,47.67,30.95,24.38,13.71,88.81,68.59,65.86,63.04,2,2,25/2/2026 9:36
2774,185,36.19,36.67,82,95,100,96,0.139,1.773,-1.841,-0.115,1.908,-1.869,113.12,-111.063,141.009,233.927,47.545,-101.176,28.2,12.01,40.38,35.32,57.75,74.65,16.54,71.36,71.69,88.26,74.83,10.4,2,2,25/2/2026 9:37
2775,185,37.27,36.04,75,74,95,98,1.214,0.649,-0.276,-1.159,0.889,-1.523,154.747,155.777,-24.569,-121.803,-249.209,128.946,85.09,86.83,83.37,85.77,56.25,25.57,51.32,35.84,13.88,54.77,82.4,58.89,2,2,25/2/2026 9:38
2776,186,36.66,36.08,79,86,100,97,-1.254,0.853,-1.354,1.352,0.615,-0.657,-208.709,-204.73,229.759,151.467,142.337,239.792,55.46,15.56,71.1,74.35,71.11,80.11,41.69,78.92,31.88,83.01,60.95,54.32,2,2,25/2/2026 9:39
2777,186,36.04,37.49,62,97,94,97,-1.457,1.563,0.448,-1.634,0.195,1.625,15.33,-82.976,-217.334,51.566,-218.716,32.337,45.18,44.28,77.89,58.63,40.69,35.64,68.61,75.59,58.61,17.98,33.02,84.59,2,2,25/2/2026 9:40
2778,186,36.26,36.39,70,96,95,94,1.762,0.862,0.588,1.788,1.315,0.157,-13.242,222.867,-32.124,-145.606,32.695,-248.717,76.95,51.34,82.59,48.1,51.9,70.76,33.17,64.02,58.84,65.25,71.22,18.6,2,2,25/2/2026 9:41
2779,186,36.68,36.72,82,103,100,99,-1.102,1.08,-1.489,-1.909,-1.599,-0.748,129.039,-193.126,3.485,-216.714,-225.181,57.728,77.53,31.13,56.84,75.53,40.67,26.29,33.17,67.55,74.62,15.49,76.34,16.14,2,2,25/2/2026 9:42
2780,186,35.69,35.6,102,67,94,100,-0.486,1.222,1.989,0.364,-1.778,-0.424,-5.547,-41.644,-75.594,-167.72,-171.21,-192.197,77.71,45.41,78.3,29.86,19.92,71.79,74.17,11.94,34.6,44.84,52.61,35.24,2,2,25/2/2026 9:43
2781,186,35.7,36.11,89,70,98,98,-1.059,-0.981,1.803,1.473,1.991,-1.972,-182.848,-151.968,72,-192.752,245.158,168.984,63.02,14.03,83.24,28.55,58.01,89.2,81.36,55.67,28.55,89.18,56.22,18.16,2,2,25/2/2026 9:44
2782,186,35.85,37.11,63,100,96,95,0.634,0.022,0.887,-1.367,-1.898,-0.124,191.789,22.364,-46.258,54.962,131.362,-177.658,16.36,22.13,44.38,14.1,77.68,43.21,13.27,28.91,50.78,77.7,54.58,78.26,2,2,25/2/2026 9:45
2783,186,36.11,36.7,63,81,95,95,-1.484,0.632,-1.376,0.269,-1.991,0.332,136.884,123.7,57.221,74.799,238.451,-174.208,29.89,74.2,25.2,10.34,80.4,52.49,62.09,82.57,73.2,73.88,56.96,69.22,2,2,25/2/2026 9:46
2784,186,36.21,35.56,91,105,100,97,0.422,-0.317,1.77,1.836,1.9,-1.01,107.158,239.831,-55.937,39.958,20.102,-213.815,67.3,53.87,55.6,52.34,46.75,18.26,52.45,81.27,81.71,81.08,21,87.21,2,2,25/2/2026 9:47
2785,186,37.31,35.57,89,68,99,100,-0.445,0.913,-1.083,-1.865,0.518,1.163,132.336,158.566,-243.35,-183.92,-187.647,-53.769,30.1,51.34,65.8,44.68,19.8,44.95,57.4,74.37,77.75,67.04,41.88,26.22,2,2,25/2/2026 9:48
2786,186,36.67,35.71,108,65,97,96,1.804,-1.432,1.916,1.433,-0.798,1.118,-15.135,42.462,-227.888,-42.583,-170.857,-143.599,45.01,43.09,76.99,57.66,38.63,57.15,51.97,40.88,15.74,36.77,58.33,68.69,2,2,25/2/2026 9:49
2787,186,35.96,36.6,85,61,97,98,0.147,0.848,0.769,-0.322,0.103,-0.26,72.811,-246.359,-177.207,230.738,-241.749,-99.563,44.92,20.93,54.71,43.1,14.42,21.31,20.39,60.98,19.87,47.04,11.33,30.09,2,2,25/2/2026 9:50
2788,186,37,35.6,102,86,95,99,0.813,-0.574,0.487,0.046,0.248,0.883,-233.164,220.331,-14.851,180.843,-41.912,25.126,21.41,36.24,55.12,86.24,81.04,50.37,79.54,36.28,10.13,17.57,23.65,88.22,2,2,25/2/2026 9:51
2789,186,36.04,35.65,65,86,98,100,-1.382,1.144,-1.036,0.498,-0.58,-0.254,173.663,136.786,37.256,190.07,1.144,77.673,80.07,14.47,42.87,22.13,14.34,58.98,60.74,89.37,52.73,47.93,44.35,13.67,2,2,25/2/2026 9:52
2790,186,35.98,36.95,79,65,96,95,0.393,-1.406,-1.002,1.627,-1.9,1.82,84.118,162.242,-134.476,-153.488,100.173,174.079,42.32,10.1,26.02,53.36,83.76,13.39,44.05,48.63,58.33,87.9,88.15,18,2,2,25/2/2026 9:53
2791,187,36.81,37.22,97,108,100,97,-1.046,0.377,0.181,1.136,-1.353,0.764,-165.805,-73.609,229.637,-114.753,-206.835,-210.983,13.47,44.38,62.08,11.64,85.48,72.62,13.42,49.97,13.28,31.01,79.11,24.42,2,2,25/2/2026 9:54
2792,187,35.9,36.13,110,70,96,98,1.898,-1.1,-1.053,0.847,1.537,1.785,-187.354,133.513,-113.339,202.823,97.802,-19.554,79.62,72.3,74.62,19.55,46.67,60.52,50.15,16.43,30.34,58.44,72.47,40.05,2,2,25/2/2026 9:55
2793,187,36.14,37.29,69,92,96,97,-1.386,1.88,0.657,-0.873,-0.612,1.622,223.64,-75.68,161.808,-218.386,54.372,180.415,12.78,83.3,33.43,37.16,54.8,17.71,55.41,23.67,19.93,24.42,47.93,58.03,2,2,25/2/2026 9:56
2794,187,36.7,36.14,105,110,99,94,-1.676,-0.964,0.715,1.318,-1.557,-0.169,157.073,-139.048,143.658,-134.505,200.482,-56.554,18.15,79.41,33.1,73.78,61.52,63.24,86.32,42.94,51.17,67.55,18.91,33.28,2,2,25/2/2026 9:57
2795,187,36.75,36.16,105,85,100,95,-0.134,1.788,-0.697,-0.089,1.06,-1.043,-63.681,-156.714,128.61,3.125,83.62,-239.487,78.54,44.5,61.22,23.53,64.06,32.47,42.65,11.26,38.81,69.14,85.17,18.87,2,2,25/2/2026 9:58
2796,187,36.57,35.72,80,67,99,99,1.95,1.601,-1.416,-0.166,0.126,0.303,-94.115,-8.166,-98.796,-5.676,-225.057,3.678,56.74,70.32,38.2,42.94,71.17,43.04,16.84,78.48,10.89,38,15.6,13.41,2,2,25/2/2026 9:59
2797,187,36.34,36.26,92,83,98,94,0.298,-0.757,0.083,-0.973,-0.511,1.401,-91.506,-240.055,-101.077,-150.805,152.737,-26.188,78.59,51.75,72.93,33.97,65.19,26.95,81.49,64.7,74.79,16.04,37.22,32.41,2,2,25/2/2026 10:00
2798,187,35.53,36.09,88,89,97,99,-1.912,-1.964,-1.153,1.592,-1.579,0.312,-212.785,231.832,127.071,115.43,98.564,10.667,33.48,24.45,42.12,18,63.99,89.63,59.97,42.77,58.68,84.85,65.88,39.01,2,2,25/2/2026 10:01
2799,187,36.27,36.82,87,88,97,95,-0.864,1.077,0.261,-0.794,-1.644,0.401,149.937,184.415,-115.579,130.895,8.917,-160.063,63.54,75.22,21.42,11.76,66.02,40.14,45.43,47.44,73.17,37.59,52.76,50.95,2,2,25/2/2026 10:02
2800,187,36.1,35.84,80,74,95,95,1.437,0,-1.073,-1.476,-1.923,1.681,163.798,-117.704,35.949,44.293,247.496,-232.317,15.71,81.44,77.72,76.62,80.41,52.79,85.82,61.21,84.71,72.71,43.83,14.57,2,3,25/2/2026 10:03
2801,187,35.57,37.18,103,86,100,100,-0.755,-0.993,-0.228,-1.255,-0.906,0.542,-78.203,45.191,-81.822,-57.493,-125.717,65.162,63.91,31.01,46.29,12.49,78.31,65.46,67.14,56.86,50.11,30.14,35.85,37.05,2,2,25/2/2026 10:04
2802,187,36.33,36.29,70,90,94,96,-1.698,0.076,0.427,-0.478,-1.057,-1.795,231.43,17.066,182.671,14.72,-219.166,-246.511,67.35,76.91,61.59,53.58,87.19,35.39,63.42,14.61,64.86,24.5,81.27,48.74,2,2,25/2/2026 10:05
2803,187,35.63,35.87,85,110,100,99,-1.101,0.518,0.102,0.47,0.247,1.195,88.332,143.872,231.888,166.018,185.095,81.442,51.17,82.51,44.54,26.36,47.48,80.06,86.64,18.61,38.18,77.2,64,19.14,2,2,25/2/2026 10:06
2804,187,35.88,36.99,79,106,98,95,-0.964,-1.858,0.719,0.651,1.587,-0.014,-247.733,112.031,244.513,133.978,234.547,52.326,51.62,61.71,87.34,34.94,46.48,74.06,71.88,27.49,35.64,30.76,34.41,19.62,2,2,25/2/2026 10:07
2805,187,37.42,36.54,95,66,100,100,0.911,-0.748,-0.463,-1.79,-1.219,0.721,218.466,-220.085,4.213,-158.802,-200.432,172.12,85.53,14.92,86.3,40.31,88.86,57.69,17.21,66.72,75.53,16.4,81.41,84.93,2,2,25/2/2026 10:08
2806,188,36.55,36.08,98,76,98,95,-0.268,1.885,1.031,1.466,0.353,-1.881,-96.968,-219.617,-198.695,31.677,-12.185,-214.467,21.09,86.26,55.83,40.96,77.82,43,62.51,27.24,12.94,88.71,27.22,67.05,2,2,25/2/2026 10:09
